Clé	Biome_String	Nom_Complet		Biome	Terrain	Libellé	Emoji	Distribution	Altitude (m)	Temp.(ahpe)	Preci.(ahpe)	Vitesse_humaine_(kmh)	Vitesse_véhicule_route_non_carrossée_(kmh)	Franchissable	Carrossable	Solide	Limitrophes	Description
011	1️⃣ Désert 🏜️	1️⃣Dunes de sable⏳	1️⃣	1	1	Dunes de sable	⏳	25	200	(25°C,12°C,30°C,40°C)	(5mm,2mm,4mm,1mm)	3	10	TRUE	FALSE	TRUE	2 (25%), 7 (30%), 8 (20%), 4 (10%), 5 (15%)	Terrain mouvant, difficilement aménageable. Majoritaire au centre du désert. Peut cacher des ressources souterraines.
012	1️⃣ Désert 🏜️	2️⃣Plaine aride🏜️	2️⃣	1	2	Plaine aride	🏜️	20	300	(22°C,10°C,28°C,38°C)	(6mm,3mm,5mm,2mm)	4	20	TRUE	TRUE	TRUE	1 (20%), 7 (20%), 6 (20%), 4 (10%), 8 (10%), 5 (20%)	Sol dur et sec, stable mais pauvre en ressources. Transition possible vers d’autres biomes. Peut être aménagé avec irrigation.
013	1️⃣ Désert 🏜️	3️⃣Canyon / Falaises🏞️	3️⃣	1	3	Canyon / Falaises	🏞️	10	350	(20°C,5°C,25°C,35°C)	(8mm,4mm,6mm,3mm)	2	10	FALSE	FALSE	TRUE	6 (35%), 8 (25%), 2 (15%), 7 (15%), 1 (10%)	Terrain escarpé et impraticable. Formation rocheuse abrupte protégeant des ressources ou merveilles naturelles.
014	1️⃣ Désert 🏜️	4️⃣Oasis💧🌴	4️⃣	1	4	Oasis	💧🌴	5	180	(28°C,18°C,30°C,38°C)	(20mm,10mm,15mm,5mm)	4	25	TRUE	TRUE	TRUE	2 (40%), 1 (20%), 5 (20%), 7 (20%)	Très rare, source d’eau et de végétation. Toujours entouré de tuiles arides, idéal pour l’implantation de cultures.
015	1️⃣ Désert 🏜️	5️⃣Lit de rivière asséché🏞️	5️⃣	1	5	Lit de rivière asséché	🏞️	10	200	(24°C,12°C,28°C,40°C)	(5mm,2mm,4mm,2mm)	3	15	TRUE	TRUE	TRUE	2 (20%), 7 (20%), 6 (20%), 1 (20%), 4 (20%)	Ancienne rivière, potentiellement riche en nappes phréatiques. Peut redevenir active en cas de crues exceptionnelles.
016	1️⃣ Désert 🏜️	6️⃣Plateau rocheux⛰️	6️⃣	1	6	Plateau rocheux	⛰️	10	400	(18°C,5°C,23°C,33°C)	(10mm,5mm,8mm,4mm)	2	10	TRUE	TRUE	TRUE	3 (30%), 2 (25%), 5 (15%), 7 (20%), 8 (10%)	Surface dure et élevée, souvent stérile. Peut contenir des gisements miniers et sert de barrière naturelle.
017	1️⃣ Désert 🏜️	7️⃣Sable durci🏜️	7️⃣	1	7	Sable durci	🏜️	10	220	(23°C,10°C,29°C,39°C)	(5mm,2mm,3mm,1mm)	4	20	TRUE	TRUE	TRUE	1 (30%), 2 (20%), 5 (20%), 6 (15%), 8 (15%)	Sol compacté, plus stable que les dunes. Fait la transition entre plaines arides et dunes mouvantes.
018	1️⃣ Désert 🏜️	8️⃣Cratère / Dépression🕳️	8️⃣	1	8	Cratère / Dépression	🕳️	10	120	(26°C,14°C,32°C,42°C)	(8mm,4mm,6mm,3mm)	3	15	TRUE	FALSE	TRUE	1 (20%), 2 (15%), 3 (15%), 6 (10%), 7 (15%), 5 (25%)	Creux dans le sol, vestige d’un ancien lac ou impact. Peut receler des ressources rares ou vestiges archéologiques.
021	2️⃣ Steppe 🍂	1️⃣Plaine herbeuse sèche🌾	1️⃣	2	1	Plaine herbeuse sèche	🌾	25	200	(9°C,-3°C,11°C,24°C)	(20mm,10mm,30mm,15mm)	4	15	TRUE	TRUE	TRUE	2 (20%), 3 (15%), 4 (10%), 5 (25%), 6 (10%), 7 (10%), 8 (10%)	Étendue d’herbes rases et sèches, sol peu fertile mais exploitable avec des techniques agricoles adaptées.
022	2️⃣ Steppe 🍂	2️⃣Colline herbeuse⛰️🌿	2️⃣	2	2	Colline herbeuse	⛰️🌿	20	300	(8°C,-5°C,10°C,22°C)	(25mm,15mm,35mm,20mm)	3	10	TRUE	TRUE	TRUE	1 (20%), 3 (15%), 7 (25%), 8 (20%), 4 (10%), 6 (10%)	Relief modéré, souvent sec mais propice à l’élevage et pouvant receler du calcaire ou du cuivre.
023	2️⃣ Steppe 🍂	3️⃣Prairie arbustive🌳🍂	3️⃣	2	3	Prairie arbustive	🌳🍂	15	220	(9°C,-4°C,11°C,23°C)	(22mm,12mm,32mm,18mm)	4	10	TRUE	TRUE	TRUE	1 (20%), 2 (20%), 5 (20%), 6 (20%), 4 (10%), 7 (10%)	Zone rare où quelques arbres et buissons résistants poussent, formant une transition vers des biomes plus boisés.
024	2️⃣ Steppe 🍂	4️⃣Terre craquelée🏜️	4️⃣	2	4	Terre craquelée	🏜️	10	180	(11°C,-2°C,13°C,26°C)	(15mm,8mm,20mm,10mm)	3	8	TRUE	TRUE	TRUE	1 (20%), 3 (10%), 7 (20%), 2 (10%), 5 (15%), 8 (15%), 6 (10%)	Sol pauvre, exposé à l’érosion, plus fréquent en bordure des zones désertiques.
025	2️⃣ Steppe 🍂	5️⃣Rivière de steppe💧	5️⃣	2	5	Rivière de steppe	💧	10	200	(10°C,-3°C,12°C,25°C)	(30mm,20mm,40mm,25mm)	4	15	TRUE	FALSE	FALSE	1 (25%), 3 (20%), 6 (15%), 4 (10%), 7 (10%), 2 (10%), 8 (10%)	Source d’eau essentielle pour l’écosystème, permettant l’installation de colonies et l’agriculture.
026	2️⃣ Steppe 🍂	6️⃣Marécage saisonnier🛖	6️⃣	2	6	Marécage saisonnier	🛖	5	190	(8°C,-5°C,10°C,22°C)	(35mm,25mm,45mm,30mm)	3	5	TRUE	FALSE	FALSE	1 (15%), 3 (20%), 5 (15%), 2 (10%), 7 (10%), 4 (10%), 8 (20%)	Dépressions qui se remplissent d’eau lors des pluies, attirant la faune et offrant des ressources temporaires.
027	2️⃣ Steppe 🍂	7️⃣Plateau rocheux🏞️	7️⃣	2	7	Plateau rocheux	🏞️	10	350	(7°C,-8°C,9°C,20°C)	(18mm,10mm,25mm,14mm)	3	10	TRUE	TRUE	TRUE	1 (15%), 2 (25%), 3 (10%), 4 (20%), 5 (10%), 6 (10%), 8 (10%)	Sol sec et minéral, difficile à exploiter, pouvant contenir des gisements de sel ou de minéraux.
